place,Lat,Long,December,September,OverallAverage,October,November,January,February,March,April
0,28.55949579,76.84454575,179.1477093,47.42430279,101.1673303,116.6865672,211.3452211,136.2505734,42.81521739,24.11804009,51.55101103
200,28.56349579,76.84454575,111.2546934,51.64752791,73.63671226,86.52575196,119.5206259,99.55240027,46.06905263,41.77025232,32.75339367
201,28.55949579,76.84454575,118.1728013,21.5,21.5,,,,,,
321,28.56149579,76.84800985,125.0909091,60.8,79.63771602,80.6,143.6,96.20950324,63.4,35.52631579,31.875
441,28.55949579,76.85147396,119.4545455,66.8,81.37413727,92.30498534,162.75,98,45.97297297,36.48837209,29.22222222
562,28.55749579,76.85493806,113,49.8,72.53150664,96.6,124.125,86,46.44444444,33.7826087,30.5
681,28.55949579,76.85840216,62,48,56.40392648,61,68,62.5,51.32748538,42,
682,28.55549579,76.85840216,113,48.8,74.37604167,113,157.625,60.33333333,46,24.75,31.5
797,28.57749579,76.86186626,69.66666667,55.07905138,102.7613564,106.1885965,180.1111111,,,,
802,28.55749579,76.86186626,117.9689737,27.71886121,73.4568944,96.41176471,144.3,85.1,54.6,35.55555556,26
916,28.57949579,76.86533036,101.5,81.7,96.43703703,106.1111111,,,,,
917,28.57549579,76.86533036,128.875,43.8988764,118.6963761,120.5116279,181.5,,,,
921,28.55949579,76.86533036,134.6666667,106,169.3557699,273.8636364,287.6043165,108.6666667,,,105.3333333
1037,28.57749579,76.86879446,121.5,53.5,117.5714286,123.2857143,172,,,,
1038,28.57349579,76.86879446,152.6666667,58.88461538,127.1055624,121.8709677,175,,,,
1041,28.56149579,76.86879446,107.5,50.72727273,62.53780375,75,92.07277628,70,44.4,31.41666667,29.18571429
1042,28.55749579,76.86879446,129.4642857,55.08083832,83.01307743,150.2648305,137.75,76.04545455,60.90745501,31.40425532,23.1875
1158,28.57149579,76.87225857,141.2,58.76470588,124.0983193,119.4285714,177,,,,
1159,28.56749579,76.87225857,189.3811765,39.10746269,75.03513939,117.9,92.58684211,55.25,59.25,27.6056338,19.2
1160,28.56349579,76.87225857,66.57142857,43.72131148,46.27172189,32.25,66,57.14285714,46.51975684,34.36842105,23.6
1278,28.57349579,76.87572267,70.5,43.16666667,53.99345657,62.75,71,84,42.23098592,26.1,32.2
1279,28.56949579,76.87572267,49.5,35.46875,40.81337086,45.125,,55.75,33.875,37.724846,28.25
1396,28.57949579,76.87918677,110.3846154,33.39111111,68.41198389,74.84210526,95,100.4399441,67.57142857,39,26.66666667
1397,28.57549579,76.87918677,90.9752322,60.48908297,62.16673303,68.23529412,92.39823009,92.71428571,46.52173913,23,23
1409,28.52749579,76.87918677,120.1759818,,10,,,,,10,
1514,28.58949579,76.88265087,149.3767313,48,130.8378941,194.9407745,,190.205298,,71.66666667,
1515,28.58549579,76.88265087,99.66666667,56.32643678,84.14365146,84.73333333,190.1843972,150.3353474,30.3030303,35.6,26
1516,28.58149579,76.88265087,119,56.10526316,58.42350644,81.42857143,81.95769231,53.72619048,31.66666667,30.50366748,13
1528,28.53349579,76.88265087,61,,44.15714286,33,42,69.5,53,34,16.6
1529,28.52949579,76.88265087,72.34724541,35.7150655,62.56508253,90.6969147,128.4386503,75.75381264,47.25123153,35.77453027,14.54320988
1632,28.59549579,76.88611497,32,39.96825397,37.75198413,51.66666667,,,36,29.125,
1633,28.59149579,76.88611497,98.03355705,59.16780045,62.63779705,88.41318328,,55.4,36.33333333,38.47890819,
1648,28.53149579,76.88611497,46,,53.5,,,,61,,
1649,28.52749579,76.88611497,73.64285714,49,53.2784817,51.8,85,66.69565217,45.45,33.63934426,21
1650,28.52349579,76.88611497,47,48,45.21428571,,73.5,66,38,33.5,10.5
1752,28.59749579,76.88957907,152.6745562,48.23076923,78.35104182,76.33333333,63.33333333,181.3653846,48.89777778,19,36.97318008
1770,28.52549579,76.88957907,78.15384615,28.85714286,55.82663795,73.98550725,98.17241379,66.69230769,46.87234043,33.925,19.95454545
1867,28.61549579,76.89304318,88.62820513,59.08108108,92.57114467,63.63235294,155,,,,
1868,28.61149579,76.89304318,99.1025641,33.8,32.48333334,31.16666667,,,,,
1869,28.60749579,76.89304318,109.5769231,52.5,39.58333334,26.66666667,,,,,
1870,28.60349579,76.89304318,120.0512821,32.5,28.91666667,25.33333333,,,,,
1871,28.59949579,76.89304318,130.525641,46,124.7967213,94.6,233.7901639,,,,
1872,28.59549579,76.89304318,141,35.25,72.62334315,86.11340206,91,76,51,28,
1889,28.52749579,76.89304318,110.21875,,71,,71,,,,
1890,28.52349579,76.89304318,79.4375,32.25,54.08181204,66.14285714,101.3846154,64.48,40.0952381,33.46428571,15.4
1987,28.61749579,76.89650728,94.71267773,39.2,84.01904762,50.85714286,162,,,,
1988,28.61349579,76.89650728,109.9878555,48.33333333,71.61111111,37,129.5,,,,
1992,28.59749579,76.89650728,125.2630332,51.47959184,71.29618807,67.28717472,123.423913,90.5,51.55555556,31.61023622,29.25
2010,28.52549579,76.89650728,77,36.5,59.91621061,89.11111111,105.5925926,69.51219512,45.56756757,35.42857143,20.61764706
2111,28.59949579,76.89997138,111.2962963,106.5979381,72.91685169,83.91082803,81.11363636,103.2416918,54.72850679,17.11258278,25.33333333
2129,28.52749579,76.89997138,78.34782609,34.54545455,57.91478978,100.5555556,80.76315789,65.54545455,50.26086957,36.13333333,17.16666667
2130,28.52349579,76.89997138,75.55769231,29.51685393,57.63764357,87.43159609,99.24193548,65.66216216,45.34782609,36.98058252,21.3625
2232,28.59749579,76.90343548,113.8077922,41.6875,70.31819402,74.16161616,117.6495375,106.5724382,48.74216028,29.32917706,30.59533074
2240,28.56549579,76.90343548,158,,158,,,,,,
2243,28.55349579,76.90343548,80.55,47.14285714,82.06715369,129.6666667,,70.90909091,,,
2249,28.52949579,76.90343548,68.79591837,36.90909091,62.3480717,78.90909091,137.4651163,63,57.71428571,37.42857143,18.5625
2250,28.52549579,76.90343548,78.75,36.31578947,60.37965576,71.48148148,106.8148148,69.9375,53.39393939,39.46,26.88372093
2351,28.59949579,76.90689958,100,79.62121212,83.60017072,126.1832061,157.5,83.22222222,58.42857143,38.84615385,25
2357,28.57549579,76.90689958,104.6,28.19298246,28.19298246,,,,,,
2358,28.57149579,76.90689958,109.2,47.6,117.98125,238.125,,77,,,
2359,28.56749579,76.90689958,125,48.85714286,115.5892857,187.5,,101,,,
2360,28.56349579,76.90689958,97.83333333,48.33333333,123.5416667,247,,101,,,
2361,28.55949579,76.90689958,123.4285714,44.75,136.2946429,149.5,,227.5,,,
2362,28.55549579,76.90689958,154.25,37.66666667,106.4791667,172.5,,61.5,,,
2363,28.55149579,76.90689958,151.4457831,46.68,119.6078347,206,,74.30555556,,,
2364,28.54749579,76.90689958,230,39,153.6666667,192,,,,,
2368,28.53149579,76.90689958,76.02040816,34.68965517,56.73931705,62.80769231,93.66666667,73.55737705,52.31481481,41.08433735,19.77358491
2369,28.52749579,76.90689958,91.71428571,33.25,53.22321429,13,98,74,48,42.57142857,25.25
2471,28.60149579,76.91036368,99,43.72727273,53.91404159,54.81538462,,76.5,40,38.25,25.1056338
2472,28.59749579,76.91036368,218.8863636,37.84615385,105.6804628,111.1854839,165.4285714,94.16666667,53.25,59,
2475,28.58549579,76.91036368,51,41,46.5,,,47.5,,,
2476,28.58149579,76.91036368,54.66666667,44.5,57.1984127,,,72.42857143,,,
2477,28.57749579,76.91036368,107.2857143,47,87.44642858,131.5,,64,,,
2478,28.57349579,76.91036368,63,32,52.55555556,,,62.66666667,,,
2485,28.54549579,76.91036368,82.5,32,57.25,,,,,,
2486,28.54149579,76.91036368,87,30,100.6666667,185,,,,,
2487,28.53749579,76.91036368,102.5,42.33333333,63.60714286,144,,51.75,60,33.5,11.16666667
2488,28.53349579,76.91036368,83.19672131,29.49861496,60.24788377,71.89189189,100.2307692,79.14516129,51.49152542,43.21495327,23.31343284
2591,28.59949579,76.91382778,156.242236,47.609375,79.74156234,108.2520325,113.542522,91.96875,46.79166667,45.59734513,27.92857143
2592,28.59549579,76.91382778,47.4,46.55555556,45.61561303,,,51.3,,37.20689655,
2593,28.59149579,76.91382778,155.0224719,53,84.0408254,,,86.25,,41.89082969,
2594,28.58749579,76.91382778,63,54.33333333,61.55555555,,,67.33333333,,,
2595,28.58349579,76.91382778,155,56,105.5,,,,,,
2598,28.57149579,76.91382778,178,,178,,,,,,
2606,28.53949579,76.91382778,128.1190476,27.81889764,48.75296588,,,87.44,,31,
2607,28.53549579,76.91382778,78.23809524,43.4,66.19620115,99.42857143,122.4756944,79.1625,52.2826087,24.41547278,30.16666667
2608,28.53149579,76.91382778,84.2147923,,77,,,77,,,
2711,28.60149579,76.91729189,90.19148936,45.65591398,66.86039854,88.19172113,100.2301887,82.06451613,71.10769231,33.31666667,24.125
