local_time,city,latitude,longitude,AT,RH,PM2_5,PM10
28-03-2025 07:00,Varanasi,25.306425,82.950814,27.7,39.07,37.43,130.12
28-03-2025 07:00,Varanasi,25.2799085,82.9795844,27.41,41.25,46.11,97.2
28-03-2025 08:00,Varanasi,25.306425,82.950814,30.93,34.06,42.33,141.82
28-03-2025 08:00,Varanasi,25.2799085,82.9795844,29.51,39.01,46.63,108.02
28-03-2025 09:00,Varanasi,25.306425,82.950814,34.92,28.09,39.56,155.22
28-03-2025 09:00,Varanasi,25.2799085,82.9795844,32.53,33.22,43.18,123.92
28-03-2025 10:00,Varanasi,25.306425,82.950814,37.98,22.66,41.43,138.88
28-03-2025 10:00,Varanasi,25.2799085,82.9795844,35.79,26.24,38.76,109.21
28-03-2025 11:00,Varanasi,25.306425,82.950814,41.14,17.73,24.83,100.18
28-03-2025 11:00,Varanasi,25.2799085,82.9795844,38.6,21.77,32.08,94.74
28-03-2025 12:00,Varanasi,25.306425,82.950814,42.7,16.36,22.46,69.18
28-03-2025 12:00,Varanasi,25.2799085,82.9795844,40.01,20.36,23.81,71.11
28-03-2025 13:00,Varanasi,25.306425,82.950814,43.77,15.98,17.17,60.77
28-03-2025 13:00,Varanasi,25.2799085,82.9795844,41.12,19.64,20.02,70.87
28-03-2025 14:00,Varanasi,25.306425,82.950814,44.62,15.9,15.76,56.66
28-03-2025 14:00,Varanasi,25.2799085,82.9795844,41.58,19.71,19.19,64.29
28-03-2025 15:00,Varanasi,25.306425,82.950814,43.48,16.73,14.16,46.67
28-03-2025 15:00,Varanasi,25.2799085,82.9795844,41.74,19.94,21.89,63.88
28-03-2025 16:00,Varanasi,25.306425,82.950814,41.49,18.43,18.68,91.42
28-03-2025 16:00,Varanasi,25.2799085,82.9795844,40.81,20.83,20.47,265.38
28-03-2025 17:00,Varanasi,25.306425,82.950814,39.5,21.01,21.32,66.73
28-03-2025 17:00,Varanasi,25.2799085,82.9795844,38.45,23.96,22.37,124.93
28-03-2025 18:00,Varanasi,25.306425,82.950814,36.73,25.01,28.08,65.66
28-03-2025 18:00,Varanasi,25.2799085,82.9795844,35.74,27.91,26.05,129.48
28-03-2025 19:00,Varanasi,25.306425,82.950814,34.7,28.16,36.02,88.67
28-03-2025 19:00,Varanasi,25.2799085,82.9795844,34.22,31,34.56,116.03
28-03-2025 20:00,Varanasi,25.306425,82.950814,33.23,30.33,42.87,131.46
28-03-2025 20:00,Varanasi,25.2799085,82.9795844,33.18,31.92,39.73,120.22
